employeeid	firstname	lastname	title	birthdate	hiredate	city	country	reportees
5	Steven	Buchanan	Sales Manager	1955-03-04	1993-10-17	London	UK	Michael Suyama
5	Steven	Buchanan	Sales Manager	1955-03-04	1993-10-17	London	UK	Robert King
5	Steven	Buchanan	Sales Manager	1955-03-04	1993-10-17	London	UK	Anne Dodsworth
5	Steven	Buchanan	Sales Manager	1955-03-04	1993-10-17	London	UK	Michael Suyama
5	Steven	Buchanan	Sales Manager	1955-03-04	1993-10-17	London	UK	Robert King
5	Steven	Buchanan	Sales Manager	1955-03-04	1993-10-17	London	UK	Anne Dodsworth
5	Steven	Buchanan	Sales Manager	1955-03-04	1993-10-17	London	UK	Michael Suyama
5	Steven	Buchanan	Sales Manager	1955-03-04	1993-10-17	London	UK	Robert King
5	Steven	Buchanan	Sales Manager	1955-03-04	1993-10-17	London	UK	Anne Dodsworth
5	Steven	Buchanan	Sales Manager	1955-03-04	1993-10-17	London	UK	Michael Suyama
5	Steven	Buchanan	Sales Manager	1955-03-04	1993-10-17	London	UK	Robert King
5	Steven	Buchanan	Sales Manager	1955-03-04	1993-10-17	London	UK	Anne Dodsworth
5	Steven	Buchanan	Sales Manager	1955-03-04	1993-10-17	London	UK	Michael Suyama
5	Steven	Buchanan	Sales Manager	1955-03-04	1993-10-17	London	UK	Robert King
5	Steven	Buchanan	Sales Manager	1955-03-04	1993-10-17	London	UK	Anne Dodsworth
5	Steven	Buchanan	Sales Manager	1955-03-04	1993-10-17	London	UK	Michael Suyama
5	Steven	Buchanan	Sales Manager	1955-03-04	1993-10-17	London	UK	Robert King
5	Steven	Buchanan	Sales Manager	1955-03-04	1993-10-17	London	UK	Anne Dodsworth
5	Steven	Buchanan	Sales Manager	1955-03-04	1993-10-17	London	UK	Michael Suyama
5	Steven	Buchanan	Sales Manager	1955-03-04	1993-10-17	London	UK	Robert King
5	Steven	Buchanan	Sales Manager	1955-03-04	1993-10-17	London	UK	Anne Dodsworth
5	Steven	Buchanan	Sales Manager	1955-03-04	1993-10-17	London	UK	Michael Suyama
5	Steven	Buchanan	Sales Manager	1955-03-04	1993-10-17	London	UK	Robert King
5	Steven	Buchanan	Sales Manager	1955-03-04	1993-10-17	London	UK	Anne Dodsworth
5	Steven	Buchanan	Sales Manager	1955-03-04	1993-10-17	London	UK	Michael Suyama
